company,sector,year,current_ratio,debt_to_equity,roa,roe,gross_margin,operating_margin,interest_coverage,asset_turnover,revenue_growth,cash_ratio,altman_z_score,mda_sentiment,news_sentiment,days_payable_outstanding,distressed,liquidity_stress,profit_score,leverage_danger,combined_sentiment,growth_profit_gap,efficiency
ChiHotel,Transportation,2022,1.02,2.35,0.0664,0.0906,0.2994,0.1926,4.99,0.8,-0.3973,0.3741,1.49,-0.112,-0.211,61.2,0,0.381582,0.1295,0.47000000000000003,-0.1615,-0.5899,0.23952
PsiDefense,Technology,2018,2.15,2.62,0.1098,0.0143,0.0691,0.2193,6.62,1.14,0.256,0.7275,2.22,0.116,0.342,48.0,0,1.564125,0.16455,0.39517345399698345,0.229,0.03670000000000001,0.07877399999999998
OmegaUtil,Finance,2022,1.94,1.58,-0.0362,0.1483,0.2412,0.0373,7.1,1.11,0.001,0.2393,2.74,0.376,0.214,64.2,1,0.464242,0.0005499999999999984,0.22222222222222224,0.295,-0.0363,0.267732
AlphaTwo,Retail,2019,1.52,0.82,0.1101,0.1991,0.4372,0.0846,10.43,1.34,-0.0247,0.4228,3.19,0.294,0.159,44.2,0,0.642656,0.09734999999999999,0.07854406130268199,0.22649999999999998,-0.1093,0.585848
BetaTwo,Manufacturing,2018,1.87,3.13,0.0097,-0.2207,0.3248,0.1113,4.86,0.72,0.1969,0.3094,2.25,0.164,-0.198,67.0,1,0.578578,0.0605,0.6427104722792607,-0.017,0.0856,0.23385599999999998
GammaTwo,Energy,2018,1.27,3.87,0.0236,0.0946,0.3802,-0.0412,2.66,0.79,0.0209,0.2177,0.85,0.011,-0.186,70.7,1,0.27647900000000003,-0.0088,1.449438202247191,-0.0875,0.0621,0.300358
DeltaTwo,Healthcare,2021,1.28,2.48,-0.1184,-0.0965,0.4537,0.0536,4.76,0.94,0.0813,0.4828,2.62,-0.069,-0.267,60.3,0,0.617984,-0.0324,0.5199161425576521,-0.168,0.027699999999999995,0.42647799999999997
EpsilonTwo,Real Estate,2022,1.87,2.43,-0.0713,0.0681,0.2148,0.1255,4.94,0.95,0.0892,0.7122,2.61,0.329,0.416,66.7,0,1.3318140000000003,0.0271,0.4909090909090909,0.3725,-0.0363,0.20406
ZetaTwo,Transportation,2019,1.96,2.51,0.1537,0.2231,0.4908,0.0,9.78,1.2,-0.098,0.3719,2.98,0.499,0.276,41.5,0,0.728924,0.07685,0.25638406537282943,0.3875,-0.098,0.58896
AlphaCorp,Technology,2018,1.51,4.51,-0.103,0.0224,0.2859,0.205,2.73,1.1,0.0173,0.2973,1.48,0.157,-0.043,56.3,1,0.448923,0.051,1.645985401459854,0.057,-0.18769999999999998,0.31449
BetaInc,Finance,2018,1.48,3.07,-0.0879,-0.1319,0.2099,0.0154,3.13,0.99,0.1589,0.1727,1.62,0.001,0.009,74.5,1,0.255596,-0.036250000000000004,0.9777070063694268,0.004999999999999999,0.14350000000000002,0.207801
GammaTech,Retail,2020,1.8,2.73,0.073,0.2472,0.2486,-0.0603,6.36,1.07,-0.0098,0.5288,1.47,0.133,-0.13,86.5,0,0.9518400000000001,0.006349999999999998,0.42857142857142855,0.0015000000000000013,0.0505,0.266002
DeltaFin,Manufacturing,2021,1.75,2.62,-0.068,-0.0338,0.1079,0.1817,4.57,0.94,0.0256,0.5695,2.37,0.222,0.154,76.9,0,0.996625,0.05685,0.5720524017467249,0.188,-0.1561,0.10142599999999999
EpsilonMfg,Energy,2018,2.51,1.1,0.0321,0.2217,0.2862,0.0332,9.74,1.06,0.2266,0.1001,2.47,0.2,0.24,59.5,0,0.25125099999999995,0.03265,0.11282051282051284,0.22,0.1934,0.30337200000000003
ZetaRetail,Healthcare,2018,0.84,2.58,0.0912,-0.2792,0.2763,0.1082,6.25,1.24,0.027,0.353,1.14,-0.228,-0.386,74.8,1,0.29651999999999995,0.09970000000000001,0.41214057507987223,-0.307,-0.08120000000000001,0.34261199999999997
EtaEnergy,Real Estate,2019,1.2,2.2,0.087,0.2436,0.1846,-0.0852,10.05,1.02,-0.0687,0.4149,1.17,0.039,0.093,73.4,0,0.49788,0.000899999999999998,0.2186878727634195,0.066,0.0165,0.188292
ThetaMedia,Transportation,2022,2.15,2.18,0.1374,0.1489,0.5169,0.172,9.45,1.25,0.053,0.504,2.41,0.219,0.233,65.8,0,1.0836,0.1547,0.23044397463002117,0.226,-0.119,0.6461250000000001
IotaBank,Technology,2022,0.85,3.35,-0.0919,-0.0417,0.4202,-0.0156,4.59,0.84,0.0859,0.01,1.33,-0.048,0.162,66.9,0,0.0085,-0.05375,0.7282608695652175,0.057,0.1015,0.352968
KappaPharm,Finance,2021,1.73,2.42,0.1407,0.1489,0.2621,0.1067,7.44,1.15,0.1516,0.2737,2.71,0.22,0.392,63.4,0,0.473501,0.1237,0.32483221476510066,0.306,0.04490000000000001,0.301415
LambdaAuto,Retail,2019,0.72,3.77,-0.0192,-0.2202,0.4178,-0.0386,4.06,1.06,-0.1392,0.3855,1.87,-0.291,0.138,57.4,1,0.27756,-0.028900000000000002,0.9262899262899265,-0.07649999999999998,-0.1006,0.44286800000000004
MuConsult,Manufacturing,2018,2.1,0.98,0.1772,0.1614,0.4966,0.0877,9.78,0.77,0.1977,0.4361,3.15,-0.058,-0.039,58.1,0,0.91581,0.13245,0.10010214504596528,-0.0485,0.10999999999999999,0.382382
NuLogistics,Energy,2022,2.18,2.31,0.0062,0.1288,0.3566,-0.0094,6.32,0.61,0.1887,0.4367,2.54,0.412,0.114,37.8,1,0.952006,-0.0016000000000000003,0.36492890995260663,0.263,0.1981,0.21752599999999997
XiTelecom,Healthcare,2022,1.4,5.51,-0.1495,-0.1856,0.152,-0.0366,5.88,0.5,0.0864,0.2273,0.73,-0.518,-0.447,71.2,0,0.31822,-0.09305,0.935483870967742,-0.48250000000000004,0.123,0.076
OmicronReal,Real Estate,2022,2.36,1.57,0.0595,0.1705,0.2492,0.1631,10.41,1.18,0.1769,0.654,2.94,0.054,0.385,64.4,0,1.54344,0.1113,0.1506717850287908,0.2195,0.013800000000000007,0.294056
PiConstruct,Transportation,2019,1.62,1.83,0.1322,-0.0602,0.5915,0.0988,4.64,1.46,0.0071,0.4083,2.86,0.344,0.143,49.0,1,0.6614460000000001,0.1155,0.39354838709677425,0.2435,-0.0917,0.86359
RhoInsure,Technology,2020,1.71,2.2,-0.0703,0.0879,0.4001,0.004,7.89,0.76,0.0592,0.4487,2.13,0.113,-0.09,61.3,0,0.767277,-0.03315,0.2784810126582279,0.011500000000000003,0.0552,0.304076
SigmaFood,Finance,2021,1.79,2.01,-0.0699,0.017,0.3356,0.087,6.56,0.96,0.116,0.4973,2.26,-0.144,-0.134,51.7,0,0.890167,0.008549999999999995,0.3059360730593607,-0.139,0.029000000000000012,0.322176
TauApparel,Retail,2021,1.58,1.88,0.0186,-0.0429,0.4053,-0.0707,5.76,1.01,0.0628,0.7459,2.43,-0.149,0.019,39.9,1,1.178522,-0.02605,0.32582322357019067,-0.065,0.1335,0.409353
UpsilonMine,Manufacturing,2018,1.35,2.54,-0.1067,0.0803,0.258,0.1089,6.26,1.5,0.0089,0.6393,2.72,-0.07,0.135,54.4,0,0.863055,0.0010999999999999968,0.405103668261563,0.0325,-0.09999999999999999,0.387
PhiAirline,Energy,2021,2.44,2.2,0.1131,0.067,0.4015,0.1003,7.16,1.01,-0.0241,0.303,2.4,0.137,0.064,72.1,1,0.73932,0.1067,0.3068340306834031,0.1005,-0.1244,0.405515
ChiHotel,Healthcare,2019,1.4,3.5,-0.0582,-0.1672,0.4155,0.0822,2.58,1.53,0.0981,0.4185,2.61,-0.108,0.028,49.0,0,0.5859,0.011999999999999997,1.3513513513513513,-0.04,0.01590000000000001,0.635715
PsiDefense,Real Estate,2021,1.6,1.74,0.0303,0.1506,0.5202,0.0878,6.85,0.66,0.2879,0.1515,2.94,0.015,-0.052,44.9,1,0.2424,0.059050000000000005,0.2536443148688047,-0.0185,0.2001,0.343332
OmegaUtil,Transportation,2020,2.61,0.79,0.039,0.1206,0.2944,0.0614,6.64,1.32,0.0217,0.61,2.55,0.215,0.029,62.2,1,1.5920999999999998,0.0502,0.11879699248120303,0.122,-0.0397,0.388608
AlphaTwo,Technology,2022,1.58,1.99,-0.0022,-0.0948,0.2666,0.0019,9.53,1.4,-0.0706,0.4512,2.9,-0.196,0.111,87.5,1,0.712896,-0.00015000000000000007,0.2085953878406709,-0.0425,-0.0725,0.37323999999999996
BetaTwo,Finance,2019,2.5,0.6,0.1617,0.1071,0.338,0.1817,9.46,0.75,0.0939,0.3754,3.04,0.047,0.388,37.3,0,0.9385,0.17170000000000002,0.06335797254487856,0.2175,-0.0878,0.2535
GammaTwo,Retail,2019,1.82,1.42,0.1429,0.0914,0.4725,0.0535,7.13,1.27,-0.0113,0.5547,2.61,0.099,0.463,46.8,0,1.009554,0.0982,0.19887955182072828,0.281,-0.0648,0.600075
DeltaTwo,Manufacturing,2020,2.13,1.78,-0.011,-0.1316,0.5222,0.1414,5.83,1.2,-0.0877,0.3867,2.03,0.037,0.237,75.5,0,0.8236709999999999,0.0652,0.3047945205479452,0.13699999999999998,-0.2291,0.62664
EpsilonTwo,Energy,2019,1.7,1.72,-0.0472,0.1295,0.3959,0.15,9.26,1.38,0.0288,0.4568,2.81,0.207,0.181,73.8,0,0.7765599999999999,0.0514,0.1855447680690399,0.194,-0.1212,0.5463419999999999
ZetaTwo,Healthcare,2022,2.83,0.47,0.1279,-0.0608,0.5067,0.1985,9.3,0.52,0.0628,0.5988,2.87,-0.01,0.036,47.8,0,1.694604,0.1632,0.05048335123523093,0.012999999999999998,-0.13570000000000002,0.26348400000000005
AlphaCorp,Real Estate,2022,1.85,0.1,0.1044,0.0981,0.4315,0.3285,8.17,0.92,-0.042,0.37,3.05,0.2,0.495,56.0,0,0.6845,0.21645,0.012224938875305624,0.34750000000000003,-0.3705,0.39698
BetaInc,Transportation,2022,1.72,2.73,-0.0471,-0.0101,0.1699,0.2433,6.04,1.54,0.2839,0.2181,2.12,0.166,-0.296,54.2,0,0.37513199999999997,0.09809999999999999,0.45123966942148763,-0.06499999999999999,0.0406,0.261646
GammaTech,Technology,2022,2.27,1.55,0.0496,0.0222,0.2256,0.0371,6.5,0.94,0.0468,0.3727,2.51,0.403,0.294,53.0,0,0.8460289999999999,0.04335,0.2380952380952381,0.34850000000000003,0.0097,0.21206399999999997
DeltaFin,Finance,2022,1.96,1.78,0.0537,0.1474,0.3707,0.2623,8.6,1.3,0.2235,0.2457,2.67,0.274,0.072,47.6,0,0.481572,0.15799999999999997,0.20673635307781651,0.17300000000000001,-0.03879999999999997,0.48191
EpsilonMfg,Retail,2018,1.72,4.53,-0.1096,-0.0301,0.1466,0.0513,4.86,0.31,-0.178,0.1913,1.16,-0.388,-0.047,80.4,1,0.329036,-0.029150000000000002,0.9301848049281315,-0.2175,-0.2293,0.045446
ZetaRetail,Manufacturing,2018,1.87,1.61,0.0515,0.1207,0.4358,0.0841,6.66,1.03,0.1042,0.4977,3.41,-0.002,0.012,36.0,0,0.930699,0.0678,0.2413793103448276,0.005,0.020100000000000007,0.44887400000000005
EtaEnergy,Energy,2021,0.93,4.69,-0.1213,-0.0846,0.38,-0.0456,2.18,0.9,0.0191,0.1261,0.25,-0.315,-0.027,71.9,1,0.117273,-0.08345,2.1415525114155254,-0.171,0.06470000000000001,0.342
ThetaMedia,Healthcare,2022,2.3,2.2,-0.0552,0.0398,0.4264,0.0046,8.74,0.67,0.0026,0.3877,2.02,-0.326,0.205,55.5,0,0.8917099999999999,-0.0253,0.25142857142857145,-0.06050000000000001,-0.002,0.285688
IotaBank,Real Estate,2022,1.81,3.18,-0.0392,0.0376,0.226,0.0667,5.81,0.78,-0.0887,0.3126,1.9,-0.114,-0.229,67.3,0,0.565806,0.013749999999999998,0.5463917525773196,-0.1715,-0.15539999999999998,0.17628000000000002
KappaPharm,Transportation,2019,1.21,1.21,-0.0938,0.1365,0.1751,0.0758,7.9,1.02,0.1089,0.3985,3.02,-0.096,-0.063,48.5,0,0.48218500000000003,-0.008999999999999994,0.1529709228824273,-0.0795,0.03309999999999999,0.178602
LambdaAuto,Technology,2021,2.21,3.6,0.059,0.2021,0.1703,0.0277,4.59,1.09,-0.0985,0.4375,2.67,0.158,0.068,52.1,1,0.9668749999999999,0.04335,0.782608695652174,0.113,-0.1262,0.18562700000000001
MuConsult,Finance,2021,2.86,1.14,0.0737,0.1865,0.4543,0.312,8.65,1.39,0.2255,0.7873,3.19,0.153,0.441,50.6,0,2.251678,0.19285,0.13163972286374132,0.297,-0.0865,0.631477
NuLogistics,Retail,2021,1.52,3.36,-0.1125,-0.0658,0.195,0.1168,8.42,0.88,-0.0044,0.285,2.02,0.138,-0.105,76.2,1,0.4332,0.002149999999999999,0.398576512455516,0.016500000000000008,-0.1212,0.1716
XiTelecom,Manufacturing,2022,1.92,2.7,-0.0422,-0.1221,0.4408,0.049,7.82,1.37,-0.0139,0.3183,2.71,-0.147,-0.064,56.6,0,0.611136,0.0034000000000000002,0.3448275862068966,-0.1055,-0.0629,0.6038960000000001
OmicronReal,Energy,2022,1.88,2.34,-0.1232,-0.0813,0.2772,-0.0188,4.93,0.91,0.1223,0.2919,1.47,0.138,-0.221,51.2,1,0.5487719999999999,-0.07100000000000001,0.4736842105263158,-0.041499999999999995,0.1411,0.25225200000000003
PiConstruct,Healthcare,2022,2.12,1.57,0.0495,0.0038,0.4771,0.1463,8.54,0.74,0.1623,0.5529,2.22,-0.107,-0.115,76.9,0,1.172148,0.09790000000000001,0.18362573099415208,-0.111,0.015999999999999986,0.35305400000000003
RhoInsure,Real Estate,2020,1.02,3.84,-0.1942,-0.0776,0.3615,0.0116,3.08,0.57,-0.1969,0.3218,1.3,-0.524,0.138,89.9,1,0.32823599999999997,-0.0913,1.2427184466019419,-0.193,-0.2085,0.206055
SigmaFood,Transportation,2020,1.4,3.83,-0.0218,-0.1529,0.4061,0.1004,0.5,0.66,0.1102,0.01,1.96,-0.115,0.192,72.6,0,0.013999999999999999,0.0393,7.509803921568627,0.0385,0.009800000000000003,0.26802600000000004
TauApparel,Technology,2020,1.42,0.83,0.0151,0.2973,0.3354,0.1559,8.68,1.06,0.0755,0.2226,3.43,0.523,-0.209,39.9,1,0.316092,0.0855,0.09551208285385501,0.15700000000000003,-0.08040000000000001,0.355524
UpsilonMine,Finance,2018,1.87,2.21,-0.0103,-0.0085,0.2849,0.0999,2.35,1.13,0.2312,0.284,2.01,0.051,0.216,59.9,0,0.53108,0.0448,0.9364406779661018,0.1335,0.13129999999999997,0.321937
PhiAirline,Retail,2022,2.06,2.81,-0.035,0.1233,0.3982,0.0096,6.08,0.8,0.3505,0.4132,2.29,0.131,0.301,61.5,0,0.8511920000000001,-0.012700000000000003,0.46141215106732353,0.216,0.3409,0.31856
ChiHotel,Manufacturing,2020,2.16,1.99,0.0198,0.2277,0.3378,0.0861,4.31,0.81,-0.0398,0.2511,2.52,-0.391,-0.228,56.3,0,0.542376,0.05295,0.4606481481481482,-0.3095,-0.1259,0.27361800000000003
PsiDefense,Energy,2021,1.41,3.18,0.0214,0.151,0.4818,-0.0517,4.43,1.12,-0.1694,0.5408,2.02,0.141,-0.007,46.6,1,0.7625279999999999,-0.015150000000000002,0.7162162162162163,0.06699999999999999,-0.1177,0.5396160000000001
OmegaUtil,Healthcare,2020,1.19,2.31,0.0692,-0.1341,0.3517,0.1084,6.45,0.84,-0.0897,0.2112,2.22,-0.193,0.373,31.4,1,0.251328,0.08879999999999999,0.35758513931888547,0.09,-0.1981,0.295428
AlphaTwo,Real Estate,2021,1.46,2.31,-0.0206,0.0959,0.4814,0.0574,11.26,0.74,0.1836,0.4385,3.08,-0.111,0.549,54.1,0,0.64021,0.0184,0.2049689440993789,0.21900000000000003,0.1262,0.356236
BetaTwo,Transportation,2020,1.89,1.78,0.0603,0.1833,0.1352,0.1464,1.81,0.72,0.2461,0.2681,1.95,0.037,0.472,37.2,1,0.506709,0.10335,0.978021978021978,0.2545,0.09970000000000001,0.09734399999999999
GammaTwo,Technology,2020,2.11,1.43,0.0583,0.1465,0.3158,0.2904,7.91,1.48,0.1273,0.239,3.23,0.037,0.318,41.9,0,0.5042899999999999,0.17435,0.18055555555555555,0.1775,-0.1631,0.467384
DeltaTwo,Finance,2021,2.29,1.04,0.0748,0.0609,0.4138,0.2567,13.24,1.24,-0.1813,0.4443,3.32,0.437,0.237,60.0,0,1.017447,0.16575,0.07849056603773585,0.33699999999999997,-0.43799999999999994,0.513112
EpsilonTwo,Retail,2020,1.79,2.4,-0.0742,-0.1824,0.4932,0.2225,7.08,0.7,0.114,0.4618,1.98,0.019,0.251,44.9,0,0.826622,0.07415,0.3385049365303244,0.135,-0.1085,0.34524
ZetaTwo,Manufacturing,2021,2.02,3.32,0.0943,-0.0646,0.4426,0.1126,5.81,0.72,-0.0523,0.6402,2.21,0.191,-0.134,53.2,0,1.293204,0.10345,0.5704467353951891,0.028499999999999998,-0.1649,0.318672
AlphaCorp,Energy,2021,1.73,3.48,-0.0812,-0.0314,0.4375,0.133,2.68,0.96,-0.2296,0.304,2.63,-0.22,-0.196,77.1,1,0.5259199999999999,0.025900000000000006,1.2936802973977695,-0.20800000000000002,-0.36260000000000003,0.42
BetaInc,Healthcare,2020,1.8,2.38,0.0346,0.1455,0.4724,0.0491,6.93,0.82,0.3264,0.4388,2.14,0.077,0.089,69.5,0,0.7898400000000001,0.04185,0.34293948126801155,0.08299999999999999,0.27730000000000005,0.387368
GammaTech,Real Estate,2019,0.98,3.4,0.0382,-0.0903,0.2879,0.0617,7.23,1.03,0.0869,0.2073,1.79,-0.222,0.101,85.6,0,0.203154,0.049949999999999994,0.46961325966850825,-0.0605,0.025200000000000007,0.296537
DeltaFin,Transportation,2021,1.89,3.76,-0.1327,-0.0142,0.1323,-0.0066,0.91,1.0,0.0427,0.2439,1.67,0.054,-0.214,53.2,1,0.46097099999999996,-0.06965,4.08695652173913,-0.08,0.049300000000000004,0.1323
EpsilonMfg,Technology,2020,2.01,2.15,-0.059,0.0006,0.343,0.0569,6.1,0.98,-0.1316,0.1429,1.1,0.22,0.024,75.4,1,0.28722899999999996,-0.0010499999999999989,0.3518821603927987,0.122,-0.1885,0.33614
ZetaRetail,Finance,2022,1.64,1.07,-0.0449,0.0786,0.4315,0.0467,4.96,1.23,0.1315,0.4642,2.04,0.263,-0.361,75.8,0,0.761288,0.000899999999999998,0.21529175050301813,-0.04899999999999999,0.08480000000000001,0.530745
EtaEnergy,Retail,2019,1.64,3.03,-0.0756,-0.0126,0.106,0.0757,8.49,0.51,-0.0562,0.3549,2.45,-0.104,-0.155,43.0,0,0.582036,5.000000000000143e-05,0.3564705882352941,-0.1295,-0.13190000000000002,0.05406
ThetaMedia,Manufacturing,2022,2.06,3.11,-0.0063,-0.0752,0.4064,0.0804,5.68,0.64,0.1709,0.4058,1.74,0.187,-0.115,57.2,1,0.835948,0.03705,0.546572934973638,0.036,0.0905,0.260096
IotaBank,Energy,2020,2.26,2.34,0.0501,0.222,0.5162,0.0516,6.46,1.31,0.0909,0.2319,2.82,0.289,0.004,15.4,0,0.524094,0.05085,0.3616692426584235,0.1465,0.039299999999999995,0.676222
KappaPharm,Healthcare,2019,1.22,2.08,-0.1175,-0.1155,0.3401,-0.0202,6.67,0.89,-0.2217,0.4044,2.28,-0.212,0.068,56.3,0,0.493368,-0.06885,0.31137724550898205,-0.072,-0.2015,0.30268900000000004
LambdaAuto,Real Estate,2019,2.03,2.64,0.0492,-0.018,0.4808,0.0957,11.36,0.99,-0.2353,0.01,2.59,0.322,-0.111,85.6,1,0.0203,0.07245,0.23218997361477575,0.10550000000000001,-0.331,0.475992
MuConsult,Transportation,2018,0.87,3.51,-0.104,-0.0689,0.4218,0.0094,4.25,0.64,-0.1311,0.4529,2.34,-0.267,0.219,65.3,1,0.394023,-0.047299999999999995,0.823943661971831,-0.024000000000000007,-0.14049999999999999,0.269952
NuLogistics,Technology,2020,1.02,3.93,-0.0131,-0.0756,0.2477,-0.0844,4.01,0.78,-0.1305,0.2753,1.92,-0.1,0.081,60.5,1,0.280806,-0.04875,0.9776119402985076,-0.009500000000000001,-0.0461,0.19320600000000002
XiTelecom,Finance,2022,2.65,1.19,0.0852,0.4128,0.4231,0.1198,9.1,1.09,-0.1223,0.5063,3.13,0.236,0.018,32.6,0,1.3416949999999999,0.10250000000000001,0.13062568605927552,0.127,-0.2421,0.461179
OmicronReal,Retail,2018,1.34,4.36,-0.1217,-0.2667,0.2301,0.0819,6.51,0.94,0.0058,0.281,0.97,-0.19,0.195,67.6,1,0.37654000000000004,-0.0199,0.6687116564417179,0.0025000000000000022,-0.0761,0.216294
PiConstruct,Manufacturing,2019,2.53,0.76,0.2767,0.1424,0.3898,0.1869,7.07,1.5,-0.0565,0.3579,3.67,0.258,0.31,63.4,0,0.9054869999999999,0.2318,0.10734463276836158,0.28400000000000003,-0.2434,0.5847
RhoInsure,Energy,2021,2.05,1.62,0.1487,0.1373,0.1816,0.1923,6.02,1.03,0.1833,0.289,1.91,0.407,0.315,55.7,0,0.5924499999999999,0.17049999999999998,0.2686567164179105,0.361,-0.009000000000000008,0.18704800000000002
SigmaFood,Healthcare,2021,1.31,2.05,0.0404,0.082,0.145,0.1078,7.7,1.05,0.0139,0.369,2.15,-0.328,0.042,60.2,0,0.48339,0.0741,0.26588845654993515,-0.14300000000000002,-0.09390000000000001,0.15225
TauApparel,Real Estate,2020,1.55,2.48,0.0269,-0.141,0.2047,0.0495,7.85,0.81,-0.0133,0.4795,2.28,0.36,0.305,58.0,0,0.743225,0.0382,0.3155216284987278,0.3325,-0.0628,0.165807
UpsilonMine,Transportation,2019,1.55,2.35,-0.0651,0.1198,0.3264,-0.0598,4.4,0.81,0.034,0.0504,1.72,-0.648,-0.218,68.3,1,0.07812000000000001,-0.062450000000000006,0.5328798185941043,-0.433,0.0938,0.26438400000000006
PhiAirline,Technology,2020,1.15,4.29,-0.1707,-0.1593,0.3331,0.1815,4.18,0.61,0.1027,0.3113,2.07,-0.351,0.161,54.5,1,0.357995,0.005400000000000002,1.0238663484486874,-0.09499999999999999,-0.0788,0.203191
ChiHotel,Finance,2021,2.42,3.83,-0.0119,-0.1225,0.4153,-0.0102,3.66,0.63,-0.0199,0.3192,1.32,-0.253,-0.176,57.3,1,0.7724639999999999,-0.01105,1.0435967302452316,-0.2145,-0.0097,0.261639
PsiDefense,Retail,2021,1.32,3.66,-0.0477,0.0339,0.178,0.0639,3.38,1.1,0.1098,0.2228,2.65,-0.095,-0.358,59.2,0,0.294096,0.0081,1.0796460176991152,-0.22649999999999998,0.045899999999999996,0.1958
OmegaUtil,Manufacturing,2021,1.93,1.47,0.04,0.1607,0.3151,0.2872,3.95,1.35,0.0544,0.5262,2.84,0.381,0.043,39.7,0,1.015566,0.1636,0.3712121212121212,0.212,-0.2328,0.425385
AlphaTwo,Energy,2019,0.8,3.45,-0.1701,-0.1376,0.165,-0.1668,4.9,0.42,0.0682,0.2775,1.26,0.159,-0.405,90.2,0,0.22200000000000003,-0.16845,0.7026476578411406,-0.12300000000000001,0.235,0.0693
BetaTwo,Healthcare,2021,1.68,1.43,0.1574,0.2379,0.3448,0.1426,7.67,0.68,0.168,0.4332,3.67,0.044,0.384,62.3,0,0.727776,0.15000000000000002,0.18619791666666666,0.214,0.025400000000000006,0.234464
GammaTwo,Real Estate,2018,1.04,1.78,-0.0137,0.0646,0.1455,0.2305,6.59,1.06,0.0867,0.5575,1.79,0.122,0.306,56.1,0,0.5798,0.10840000000000001,0.2696969696969697,0.214,-0.1438,0.15423
DeltaTwo,Transportation,2022,2.02,1.83,0.0574,-0.0243,0.3863,0.1366,9.99,0.79,0.2075,0.394,2.47,-0.088,0.525,49.3,0,0.79588,0.097,0.183,0.21850000000000003,0.07089999999999999,0.305177
EpsilonTwo,Technology,2018,2.1,2.08,0.0446,0.0049,0.3342,0.158,3.07,0.9,0.1425,0.6143,2.38,0.337,0.415,52.7,1,1.29003,0.1013,0.6753246753246754,0.376,-0.015500000000000014,0.30078
ZetaTwo,Finance,2022,2.31,1.37,0.1204,0.3102,0.3549,0.188,4.8,0.46,0.2027,0.4237,3.53,-0.071,0.266,71.2,0,0.978747,0.1542,0.2848232848232849,0.0975,0.01469999999999999,0.163254
AlphaCorp,Retail,2019,1.38,3.14,0.0773,-0.0119,0.434,-0.0502,6.24,0.66,-0.0704,0.2196,1.54,-0.153,0.191,70.8,0,0.303048,0.013549999999999996,0.5024000000000001,0.019000000000000003,-0.020200000000000003,0.28644000000000003
BetaInc,Manufacturing,2020,1.56,2.17,-0.0174,0.0718,0.175,0.0117,6.68,1.18,0.2856,0.6119,2.13,-0.089,0.187,58.3,1,0.9545640000000001,-0.0028499999999999992,0.3243647234678625,0.049,0.27390000000000003,0.2065
GammaTech,Energy,2021,2.13,2.45,0.0816,0.2649,0.5157,0.2026,7.43,1.3,0.063,0.4129,3.09,0.181,0.001,32.2,1,0.879477,0.1421,0.32930107526881724,0.091,-0.1396,0.6704100000000001
DeltaFin,Healthcare,2019,2.27,0.4,0.1654,0.2299,0.5136,0.1804,8.51,1.04,0.2425,0.177,3.09,0.073,0.472,39.3,0,0.40179,0.1729,0.04694835680751174,0.27249999999999996,0.06209999999999999,0.534144
EpsilonMfg,Real Estate,2022,1.94,1.83,0.0418,0.0618,0.4904,0.0185,5.67,1.24,-0.0083,0.5076,3.26,0.028,0.22,42.8,0,0.9847440000000001,0.030149999999999996,0.3221830985915493,0.124,-0.026799999999999997,0.608096
ZetaRetail,Transportation,2021,1.64,1.26,0.0021,0.0935,0.5872,0.1662,7.85,1.18,0.0886,0.4904,2.85,0.214,0.055,25.1,0,0.804256,0.08414999999999999,0.1603053435114504,0.1345,-0.07759999999999999,0.6928960000000001
EtaEnergy,Technology,2022,1.31,3.29,0.0558,0.0355,0.4999,0.1359,8.73,0.24,0.015,0.2424,1.77,-0.203,0.041,47.2,0,0.317544,0.09584999999999999,0.37643020594965676,-0.081,-0.1209,0.119976
ThetaMedia,Finance,2019,1.5,3.19,0.0345,0.0177,0.2482,-0.0861,7.17,0.52,0.0621,0.4175,1.66,-0.123,-0.252,76.1,1,0.62625,-0.025799999999999997,0.44428969359331477,-0.1875,0.1482,0.129064
IotaBank,Retail,2020,1.93,3.45,0.0307,0.1162,0.2381,0.0939,5.46,1.1,0.0028,0.2513,2.2,0.167,-0.145,65.4,0,0.485009,0.0623,0.6307129798903108,0.01100000000000001,-0.0911,0.26191000000000003
KappaPharm,Manufacturing,2019,1.19,4.25,-0.0075,0.0364,0.3931,-0.0149,4.1,1.13,-0.1698,0.3172,1.17,0.109,-0.099,74.7,1,0.37746799999999997,-0.0112,1.0340632603406328,0.0049999999999999975,-0.1549,0.44420299999999996
LambdaAuto,Energy,2020,0.81,3.19,-0.0635,-0.0443,0.2977,0.175,7.57,1.12,0.2746,0.3729,1.87,0.043,0.027,79.8,0,0.302049,0.055749999999999994,0.420844327176781,0.034999999999999996,0.09960000000000002,0.33342400000000005
MuConsult,Healthcare,2022,1.4,4.16,-0.1575,0.0367,0.4345,0.1635,5.65,0.55,0.0577,0.1316,1.41,-0.018,-0.243,59.4,1,0.18424,0.0030000000000000027,0.734982332155477,-0.1305,-0.1058,0.23897500000000002
NuLogistics,Real Estate,2022,1.9,2.83,0.0772,-0.1037,0.3621,0.0754,6.43,0.81,0.0968,0.2105,2.0,-0.095,0.198,62.4,1,0.39994999999999997,0.0763,0.4394409937888199,0.051500000000000004,0.021400000000000002,0.293301
XiTelecom,Transportation,2018,2.12,2.79,0.0294,0.0393,0.482,0.1508,6.08,1.08,-0.1015,0.3922,1.81,-0.121,0.175,27.2,1,0.831464,0.0901,0.458128078817734,0.026999999999999996,-0.25229999999999997,0.52056
